Z,symbol,name,A,depth,pattern,ratio,depth_fraction
51,Sb,Antimony,122,71,51,1.3921568627450980392156862745098039215686274509803921568627450980392156862745098,0.58196721311475409836065573770491803278688524590163934426229508196721311475409836
52,Te,Tellurium,128,76,52,1.4615384615384615384615384615384615384615384615384615384615384615384615384615385,0.59375
53,I,Iodine,127,74,53,1.3962264150943396226415094339622641509433962264150943396226415094339622641509434,0.58267716535433070866141732283464566929133858267716535433070866141732283464566929
54,Xe,Xenon,131,77,54,1.4259259259259259259259259259259259259259259259259259259259259259259259259259259,0.58778625954198473282442748091603053435114503816793893129770992366412213740458015
55,Cs,Caesium,133,78,55,1.4181818181818181818181818181818181818181818181818181818181818181818181818181818,0.58646616541353383458646616541353383458646616541353383458646616541353383458646617
56,Ba,Barium,137,81,56,1.4464285714285714285714285714285714285714285714285714285714285714285714285714286,0.59124087591240875912408759124087591240875912408759124087591240875912408759124088
57,La,Lanthanum,139,82,57,1.4385964912280701754385964912280701754385964912280701754385964912280701754385965,0.58992805755395683453237410071942446043165467625899280575539568345323741007194245
58,Ce,Cerium,140,82,58,1.4137931034482758620689655172413793103448275862068965517241379310344827586206897,0.58571428571428571428571428571428571428571428571428571428571428571428571428571429
59,Pr,Praseodymium,141,82,59,1.3898305084745762711864406779661016949152542372881355932203389830508474576271186,0.58156028368794326241134751773049645390070921985815602836879432624113475177304965
60,Nd,Neodymium,144,84,60,1.4,0.58333333333333333333333333333333333333333333333333333333333333333333333333333333
61,Pm,Promethium,145,84,61,1.3770491803278688524590163934426229508196721311475409836065573770491803278688525,0.57931034482758620689655172413793103448275862068965517241379310344827586206896552
62,Sm,Samarium,150,88,62,1.4193548387096774193548387096774193548387096774193548387096774193548387096774194,0.58666666666666666666666666666666666666666666666666666666666666666666666666666667
63,Eu,Europium,152,89,63,1.4126984126984126984126984126984126984126984126984126984126984126984126984126984,0.58552631578947368421052631578947368421052631578947368421052631578947368421052632
64,Gd,Gadolinium,157,93,64,1.453125,0.59235668789808917197452229299363057324840764331210191082802547770700636942675159
65,Tb,Terbium,159,94,65,1.4461538461538461538461538461538461538461538461538461538461538461538461538461538,0.59119496855345911949685534591194968553459119496855345911949685534591194968553459
66,Dy,Dysprosium,163,97,66,1.4696969696969696969696969696969696969696969696969696969696969696969696969696970,0.59509202453987730061349693251533742331288343558282208588957055214723926380368098
67,Ho,Holmium,165,98,67,1.4626865671641791044776119402985074626865671641791044776119402985074626865671642,0.59393939393939393939393939393939393939393939393939393939393939393939393939393939
68,Er,Erbium,167,99,68,1.4558823529411764705882352941176470588235294117647058823529411764705882352941176,0.59281437125748502994011976047904191616766467065868263473053892215568862275449102
